"시점",계,15 - 19세,20 - 29세,30 - 39세,40 - 49세,50 - 59세,60세이상,15 - 64세,15 - 24세,15 - 29세
"시점",계,계,계,계,계,계,계,계,계,계
"2009.08",3.7,9.6,8.0,3.7,2.5,2.5,1.5,3.9,9.2,8.0
"2009.09",3.3,5.0,7.6,3.3,2.3,2.3,1.5,3.5,8.6,7.5
"2009.10",3.2,8.0,7.4,3.3,2.2,2.1,1.3,3.4,8.3,7.4
"2009.11",3.3,13.5,7.3,3.4,2.3,2.1,1.3,3.5,9.6,7.6
"2009.12",3.5,13.6,7.2,3.4,2.3,2.4,1.9,3.6,10.0,7.5
"2010.01",5.0,18.7,8.6,3.8,2.9,3.7,8.7,4.7,12.9,9.3
"2010.02",4.8,12.6,9.7,4.0,3.0,3.2,5.9,4.7,12.4,9.9
"2010.03",4.1,12.2,8.8,3.8,2.9,2.6,3.0,4.2,11.1,8.9
"2010.04",3.7,12.3,8.3,3.8,2.4,2.3,2.2,3.9,10.5,8.5
"2010.05",3.2,7.9,6.3,3.4,2.2,2.0,1.9,3.3,7.4,6.4
"2010.06",3.5,20.3,7.5,3.4,2.2,2.0,2.0,3.6,11.3,8.2
"2010.07",3.7,11.6,8.2,3.4,2.4,2.5,2.2,3.8,10.1,8.4
"2010.08",3.3,5.7,7.0,3.7,2.3,2.1,1.8,3.5,7.9,7.0
"2010.09",3.4,7.1,7.2,3.5,2.7,2.3,1.9,3.6,7.9,7.2
"2010.10",3.3,5.9,7.0,3.4,2.4,2.4,1.8,3.5,7.6,7.0
"2010.11",3.0,6.7,6.4,3.0,2.1,2.0,1.7,3.1,6.7,6.4
"2010.12",3.5,17.1,7.4,3.2,2.2,2.4,2.1,3.6,10.5,8.0
"2011.01",3.8,14.6,8.0,3.6,2.1,2.5,3.2,3.8,11.4,8.5
"2011.02",4.5,11.5,8.3,4.2,2.7,2.8,6.4,4.2,11.0,8.5
"2011.03",4.3,11.4,9.3,4.1,2.6,2.8,3.8,4.3,11.5,9.4
"2011.04",3.7,8.5,8.7,3.9,2.3,2.1,2.3,3.8,9.9,8.7
"2011.05",3.2,5.8,7.4,3.2,2.0,2.1,2.1,3.3,7.6,7.3
"2011.06",3.3,12.5,7.3,3.4,2.1,1.9,2.2,3.4,10.4,7.6
"2011.07",3.3,16.1,6.9,3.1,2.0,2.0,2.4,3.4,11.1,7.6
"2011.08",3.0,7.7,6.2,3.4,2.0,2.0,1.8,3.2,7.9,6.3
"2011.09",3.0,8.1,6.2,3.1,2.0,2.2,2.2,3.1,8.0,6.3
"2011.10",2.9,7.8,6.6,2.9,2.0,1.8,1.7,3.0,8.3,6.7
"2011.11",2.9,7.8,6.7,2.9,1.9,1.7,1.8,3.0,8.4,6.7
"2011.12",3.0,12.6,7.4,2.8,1.8,1.8,1.8,3.1,10.0,7.7
"2012.01",3.5,12.7,7.6,2.9,2.3,2.0,3.3,3.4,10.3,8.0
"2012.02",4.2,9.1,8.2,3.4,2.6,2.5,6.6,3.9,10.1,8.3
"2012.03",3.7,9.4,8.3,3.4,2.4,2.5,3.3,3.7,10.3,8.3
"2012.04",3.5,6.5,8.6,3.3,2.1,2.3,2.2,3.6,9.8,8.4
"2012.05",3.1,6.0,8.1,3.1,1.8,1.8,1.7,3.3,9.3,8.0
